id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-07-14T08:49:26;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-07-13T20:42:08;75071
2;Rhode Island bypassing SQL;2020-07-13T23:37:30;Frozen online streamline;ISSUED;CREDIT_CARD;2020-07-14T15:24:36;68011
3;lime program;2020-07-13T18:52:33;parse Horizontal Shirt;ISSUED;PAYPAL;2020-07-13T19:43:06;82892
4;Buckinghamshire Director Gloves;2020-07-13T23:23:16;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-07-13T15:58:17;33894
5;attitude-oriented;2020-07-14T01:51:24;Integration structure;CANCELLED;PAYPAL;2020-07-14T03:58:54;72584
6;Internal Licensed Steel Towels RSS;2020-07-14T08:27:34;Chips;PAID;CREDIT_CARD;2020-07-14T09:23:14;90614
7;Toys Cotton;2020-07-14T00:56:55;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-07-13T22:40:19;42722
8;Arizona Barbados Dollar;2020-07-14T09:26:37;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-07-14T06:30:05;44406
9;Generic Ethiopian Birr Assurance;2020-07-13T21:55:28;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-07-14T05:50:58;93110
10;Concrete;2020-07-14T14:39:14;paradigms system;PAID;CREDIT_CARD;2020-07-13T17:05:26;93817
