id;placed_date;status;code;invoice_id;customer_id
1;2020-07-14T07:35:00;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-07-14T07:11:45;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-07-13T16:28:53;COMPLETED;real-time;88753;3
4;2020-07-14T00:33:02;COMPLETED;Square Regional;82542;4
5;2020-07-14T06:24:10;PENDING;maroon Decentralized Bike;98183;5
6;2020-07-13T22:47:52;COMPLETED;program;52549;6
7;2020-07-14T13:03:47;COMPLETED;target;30578;7
8;2020-07-14T11:11:53;CANCELLED;input;43284;8
9;2020-07-14T11:37:55;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-07-14T12:43:00;COMPLETED;National lavender;4674;10
