id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-07-13T17:01:10;payment unleash Jamaican Dollar;1
2;Rest;2020-07-14T12:17:40;Plains;2
3;Quality Plastic plum;2020-07-13T16:38:02;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-07-14T13:05:14;Architect SSL;4
5;zero tolerance;2020-07-14T10:01:33;user-facing CSS;5
6;ADP Ouguiya;2020-07-14T05:58:01;Garden;6
7;auxiliary;2020-07-14T14:14:01;functionalities Bedfordshire withdrawal;7
8;Data;2020-07-13T17:12:02;Viaduct hybrid;8
9;mesh;2020-07-14T15:37:41;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-07-14T13:36:35;Re-engineered withdrawal Ball;10
